"code","name","intensity","keyword","desc","cn_name","en_name"
"1","Make public statement（公开声明）","0","公告、宣布、发布、声明、谴责、敦促",,"公开声明","Make public statement"
"2","Make an appeal or request","0","公告、宣布、发布、声明、谴责、敦促",,"提出上诉或请求","Make an appeal or request"
"3","Express intent to cooperate（表达合作意向）","4","表达合作、会面、协商、援助、解决争议、接受调解的意向",,"表达合作意向","Express intent to cooperate"
"4","Consult（协商）","1","协商、磋商、通话、谈判",,"协商","Consult"
"5","Engage in diplomatic cooperation（开展外交合作）","4","签署、签订、会见、通话、联系、会晤、接见、访问",,"开展外交合作","Engage in diplomatic cooperation"
"6","Engage in material cooperation（开展实质合作）","6","军事演习、反恐演习、经济、军事、体育、司法合作",,"开展实质合作","Engage in material cooperation"
"7","Provide aid（提供援助）","7","援助、庇护",,"提供援助","Provide aid"
"8","Yield（妥协）","5","撤退、投降、休战、停火、释放人质、解除制裁、解除禁令，接受调查，允许介入、终止试验、拆除设施、交换战俘、换俘",,"妥协","Yield"
"9","Investigate（调查）","-2","调查活动、密切关注",,"调查","Investigate"
"10","Demand（要求）","-5","要求合作、和谈、介入、调解、保护、解除制裁、减轻制裁",,"要求","Demand"
"11","Disapprove（不赞成）","-2","审判、指控、起诉、定罪、判刑、赦免",,"不赞成","Disapprove"
"12","Reject（拒绝）","-4","拒绝调解、介入、会面、谈判，拒绝释放人质、财产，",,"拒绝","Reject"
"13","Threaten（威胁）","-6","军事威胁、恐吓、最后通牒",,"威胁","Threaten"
"14","Protest（抗议）","-7","抗议制裁、严正交涉",,"抗议","Protest"
"15","Exhibit force posture（炫耀军事力量）","-7","开展演习，开展侦察",,"炫耀军事力量","Exhibit force posture"
"16","Reduce relations（减少关系）","-4","实施制裁、禁运，停止谈判，驱逐人员",,"减少关系","Reduce relations"
"17","Coerce（胁迫）","-7","扣押人质、财产",,"胁迫","Coerce"
"18","Assault（袭击）","-9","自杀式袭击",,"袭击","Assault"
"19","Fight（战斗）","-10","宣战、进攻、轰炸、爆炸、摧毁、防守、交火、袭击、空袭、俘虏、偷袭、占领",,"战斗","Fight"
"20","Use unconventional mass violence（非传统战斗）","-10","屠杀、投放核武器、",,"非传统战斗","Use unconventional mass violence"
